Id	Date	Quantity	NetAmount	Client	Currency
16342939	2015-02-28	3	197.97	YUM	USD
16346727	2013-10-24	1	6.48	OPM	USD
16346727	2013-11-16	1	6.48	LTU	USD
16346727	2014-02-02	1	6.48	HRY	USD
16346727	2014-02-23	1	6.48	HRY	USD
16346727	2014-02-24	1	6.48	UIL	USD
16346727	2014-10-15	1	6.48	ULT	USD
16346727	2014-10-21	1	8.88	OPU	CAD
16346727	2014-10-25	1	8.29	RYH	AUD
16346727	2014-10-27	1	6.48	HRY	USD
16346727	2014-11-23	1	6.48	Z4H	USD
16346727	2014-11-28	1	8.88	OPU	CAD
16346727	2015-01-04	1	6.48	IUO	USD
16346727	2015-01-25	1	97.72	VQE	MXN
16346853	2014-05-23	1	65.81	TRY	CAD
16346853	2014-05-27	1	48.04	ERG	USD
16346853	2014-05-29	1	48.04	IUO	USD
16346853	2014-05-29	1	48.04	MYT	USD
16346853	2014-05-30	1	61.49	RYH	AUD
16346853	2014-05-30	2	87.43	HUO	EUR
16346853	2014-05-30	1	48.04	ZRE	USD
16346853	2014-06-01	1	1273.06	SEG	CUP
16346853	2014-06-02	1	724.44	LUY	MXN
16346853	2014-06-03	1	48.04	ERY	USD
16346853	2014-06-04	1	2921.79	ERH	RUB
16346853	2014-06-04	1	724.44	VQE	MXN
16346853	2014-06-05	1	65.81	FGY	CAD
16346853	2014-06-07	1	724.44	VSR	MXN
16346853	2014-06-14	1	366.06	ETS	GTQ
16346853	2014-06-15	1	48.04	ZAF	USD
16346853	2014-06-16	1	48.04	ERY	USD
16346853	2014-06-21	1	48.04	IUO	USD
16346853	2014-06-28	1	48.04	SCZ	USD
16346853	2014-06-30	1	48.04	IUY	USD
16346853	2014-07-06	1	48.04	QZE	USD
16346853	2014-07-11	1	65.81	RTU	CAD
16346853	2014-07-12	1	724.44	TYJ	MXN
16346853	2014-07-14	1	48.04	THR	USD
16346853	2014-07-16	1	48.04	XGE	USD
16346853	2014-07-26	1	43.72	ZRT	EUR
16346853	2014-08-10	1	48.04	RZE	USD
16346853	2014-08-22	1	48.04	RER	USD
16346853	2014-08-26	1	724.44	TYJ	MXN
16346853	2014-08-31	1	48.04	ULT	USD
16346853	2014-09-01	1	31.23	ZED	GBP
16346853	2014-09-01	1	43.72	YJU	EUR
16346853	2014-09-02	1	48.04	FCA	USD
16346853	2014-09-08	1	48.04	FCA	USD
16346853	2014-09-15	1	48.04	ERR	USD
16346853	2014-09-28	1	48.04	GTR	USD
16346853	2014-09-30	1	48.04	LTU	USD
16346853	2014-10-02	1	48.04	ERR	USD
16346853	2014-10-05	1	48.04	THR	USD
16346853	2014-10-05	1	48.04	SCZ	USD
16346853	2014-10-07	1	31.23	ZED	GBP
16346853	2014-10-08	1	48.04	AER	USD
